supersource,count2
http://purl.obolibrary.org/obo/CHEBI_140061,2
http://purl.obolibrary.org/obo/CHEBI_140160,10
http://purl.obolibrary.org/obo/CHEBI_140165,37
http://purl.obolibrary.org/obo/CHEBI_140190,4
http://purl.obolibrary.org/obo/CHEBI_140378,1
http://purl.obolibrary.org/obo/CHEBI_140399,19
http://purl.obolibrary.org/obo/CHEBI_140482,1
http://purl.obolibrary.org/obo/CHEBI_140489,4
http://purl.obolibrary.org/obo/CHEBI_140535,4
http://purl.obolibrary.org/obo/CHEBI_140602,36
http://purl.obolibrary.org/obo/CHEBI_140701,1
http://purl.obolibrary.org/obo/CHEBI_140921,6
http://purl.obolibrary.org/obo/CHEBI_140922,4
http://purl.obolibrary.org/obo/CHEBI_140982,2
http://purl.obolibrary.org/obo/CHEBI_141000,1
http://purl.obolibrary.org/obo/CHEBI_141001,1
http://purl.obolibrary.org/obo/CHEBI_141153,5
http://purl.obolibrary.org/obo/CHEBI_141301,3
http://purl.obolibrary.org/obo/CHEBI_142184,1
http://purl.obolibrary.org/obo/CHEBI_142185,1
http://purl.obolibrary.org/obo/CHEBI_142480,1
http://purl.obolibrary.org/obo/CHEBI_142481,1
http://purl.obolibrary.org/obo/CHEBI_142581,1
http://purl.obolibrary.org/obo/CHEBI_142781,2
http://purl.obolibrary.org/obo/CHEBI_142782,3
http://purl.obolibrary.org/obo/CHEBI_142783,8
http://purl.obolibrary.org/obo/CHEBI_142790,2
http://purl.obolibrary.org/obo/CHEBI_143001,1
http://purl.obolibrary.org/obo/CHEBI_143002,1
http://purl.obolibrary.org/obo/CHEBI_143003,1
http://purl.obolibrary.org/obo/CHEBI_143130,1
http://purl.obolibrary.org/obo/CHEBI_143204,1
http://purl.obolibrary.org/obo/CHEBI_143231,30
http://purl.obolibrary.org/obo/CHEBI_143252,5
http://purl.obolibrary.org/obo/CHEBI_143828,1
http://purl.obolibrary.org/obo/CHEBI_143909,2
http://purl.obolibrary.org/obo/CHEBI_144064,1
http://purl.obolibrary.org/obo/CHEBI_144097,1
http://purl.obolibrary.org/obo/CHEBI_144099,1
http://purl.obolibrary.org/obo/CHEBI_144387,1
http://purl.obolibrary.org/obo/CHEBI_144455,1
http://purl.obolibrary.org/obo/CHEBI_144829,1
http://purl.obolibrary.org/obo/CHEBI_144895,1
http://purl.obolibrary.org/obo/CHEBI_144981,2
http://purl.obolibrary.org/obo/CHEBI_144987,2
http://purl.obolibrary.org/obo/CHEBI_144997,2
http://purl.obolibrary.org/obo/CHEBI_144998,1
http://purl.obolibrary.org/obo/CHEBI_145047,8
http://purl.obolibrary.org/obo/CHEBI_145253,2
http://purl.obolibrary.org/obo/CHEBI_145410,2
http://purl.obolibrary.org/obo/CHEBI_145425,2
http://purl.obolibrary.org/obo/CHEBI_145437,3
http://purl.obolibrary.org/obo/CHEBI_145438,2
http://purl.obolibrary.org/obo/CHEBI_145515,1
http://purl.obolibrary.org/obo/CHEBI_145807,1
http://purl.obolibrary.org/obo/CHEBI_145814,2
http://purl.obolibrary.org/obo/CHEBI_145947,2
http://purl.obolibrary.org/obo/CHEBI_145982,3
http://purl.obolibrary.org/obo/CHEBI_146223,1
http://purl.obolibrary.org/obo/CHEBI_15022,13
http://purl.obolibrary.org/obo/CHEBI_15339,15
http://purl.obolibrary.org/obo/CHEBI_17499,3
http://purl.obolibrary.org/obo/CHEBI_17654,3
http://purl.obolibrary.org/obo/CHEBI_17891,65
http://purl.obolibrary.org/obo/CHEBI_20569,1
http://purl.obolibrary.org/obo/CHEBI_20854,6
http://purl.obolibrary.org/obo/CHEBI_21241,3
http://purl.obolibrary.org/obo/CHEBI_22153,118
