s,l,lcl
http://purl.obolibrary.org/obo/DRON_00013988,alitretinoin,alitretinoin
http://purl.obolibrary.org/obo/DRON_00010164,alizapride,alizapride
http://purl.obolibrary.org/obo/DRON_00019279,alkali blite pollen extract,alkali blite pollen extract
http://purl.obolibrary.org/obo/DRON_00018518,"ALLERGENIC EXTRACT, BEE","allergenic extract, bee"
http://purl.obolibrary.org/obo/DRON_00018484,"ALLERGENIC EXTRACT, BEECH","allergenic extract, beech"
http://purl.obolibrary.org/obo/DRON_00018510,"ALLERGENIC EXTRACT, BERMUDA GRASS","allergenic extract, bermuda grass"
http://purl.obolibrary.org/obo/DRON_00018509,"ALLERGENIC EXTRACT, BIRCH","allergenic extract, birch"
http://purl.obolibrary.org/obo/DRON_00018485,"ALLERGENIC EXTRACT, BOX ELDER","allergenic extract, box elder"
http://purl.obolibrary.org/obo/DRON_00018488,"ALLERGENIC EXTRACT, CALIFORNIA HAZELNUT POLLEN","allergenic extract, california hazelnut pollen"
http://purl.obolibrary.org/obo/DRON_00018494,"ALLERGENIC EXTRACT, CALIFORNIA LIVE OAK","allergenic extract, california live oak"
http://purl.obolibrary.org/obo/DRON_00018476,"ALLERGENIC EXTRACT, COMMON MUGWORT","allergenic extract, common mugwort"
http://purl.obolibrary.org/obo/DRON_00018480,"ALLERGENIC EXTRACT, COMMON SAGEBRUSH","allergenic extract, common sagebrush"
http://purl.obolibrary.org/obo/DRON_00018486,"ALLERGENIC EXTRACT, COTTONWOOD FREMONT","allergenic extract, cottonwood fremont"
http://purl.obolibrary.org/obo/DRON_00018487,"ALLERGENIC EXTRACT, COTTONWOOD, WESTERN","allergenic extract, cottonwood, western"
http://purl.obolibrary.org/obo/DRON_00018472,"ALLERGENIC EXTRACT, CURVULARIA LUNATA MOLD","allergenic extract, curvularia lunata mold"
http://purl.obolibrary.org/obo/DRON_00018426,"ALLERGENIC EXTRACT, DUST, AUTOGENOUS","allergenic extract, dust, autogenous"
http://purl.obolibrary.org/obo/DRON_00018503,"ALLERGENIC EXTRACT, FALSE RAGWEED","allergenic extract, false ragweed"
http://purl.obolibrary.org/obo/DRON_00018511,"ALLERGENIC EXTRACT, GRASS, BROME","allergenic extract, grass, brome"
http://purl.obolibrary.org/obo/DRON_00018512,"ALLERGENIC EXTRACT, GRASS, JOHNSON","allergenic extract, grass, johnson"
http://purl.obolibrary.org/obo/DRON_00018513,"ALLERGENIC EXTRACT, GRASS, KENTUCKY BLUE","allergenic extract, grass, kentucky blue"
http://purl.obolibrary.org/obo/DRON_00018514,"ALLERGENIC EXTRACT, GRASS, ORCHARD","allergenic extract, grass, orchard"
http://purl.obolibrary.org/obo/DRON_00018516,"ALLERGENIC EXTRACT, GRASS, SWEET VERNAL","allergenic extract, grass, sweet vernal"
http://purl.obolibrary.org/obo/DRON_00018489,"ALLERGENIC EXTRACT, HICKORY","allergenic extract, hickory"
http://purl.obolibrary.org/obo/DRON_00018517,"ALLERGENIC EXTRACT, HORMODENDRUM HORDEI","allergenic extract, hormodendrum hordei"
http://purl.obolibrary.org/obo/DRON_00018468,"ALLERGENIC EXTRACT, HORSE DANDER","allergenic extract, horse dander"
http://purl.obolibrary.org/obo/DRON_00018423,"ALLERGENIC EXTRACT, HOUSE DUST EXTRACT CONCENTRATE","allergenic extract, house dust extract concentrate"
http://purl.obolibrary.org/obo/DRON_00018519,"ALLERGENIC EXTRACT, LAMB QUARTERS","allergenic extract, lamb quarters"
http://purl.obolibrary.org/obo/DRON_00018490,"ALLERGENIC EXTRACT, MAPLE","allergenic extract, maple"
http://purl.obolibrary.org/obo/DRON_00018491,"ALLERGENIC EXTRACT, MESQUITE","allergenic extract, mesquite"
http://purl.obolibrary.org/obo/DRON_00018492,"ALLERGENIC EXTRACT, MOUNTAIN CEDAR","allergenic extract, mountain cedar"
http://purl.obolibrary.org/obo/DRON_00018504,"ALLERGENIC EXTRACT, MUCOR RACEMOSUS MOLD","allergenic extract, mucor racemosus mold"
http://purl.obolibrary.org/obo/DRON_00018493,"ALLERGENIC EXTRACT, OAK","allergenic extract, oak"
http://purl.obolibrary.org/obo/DRON_00018495,"ALLERGENIC EXTRACT, OLIVE","allergenic extract, olive"
http://purl.obolibrary.org/obo/DRON_00018477,"ALLERGENIC EXTRACT, PENICILLIN","allergenic extract, penicillin"
http://purl.obolibrary.org/obo/DRON_00018473,"ALLERGENIC EXTRACT, PHOMA BETAE MOLD","allergenic extract, phoma betae mold"
http://purl.obolibrary.org/obo/DRON_00018478,"ALLERGENIC EXTRACT, PIGWEED, ROUGH","allergenic extract, pigweed, rough"
http://purl.obolibrary.org/obo/DRON_00018427,"ALLERGENIC EXTRACT, PLANTAIN, ENGLISH","allergenic extract, plantain, english"
http://purl.obolibrary.org/obo/DRON_00018496,"ALLERGENIC EXTRACT, POPLAR","allergenic extract, poplar"
http://purl.obolibrary.org/obo/DRON_00018497,"ALLERGENIC EXTRACT, POPULUS ALBA, P. DELTOIDES","allergenic extract, populus alba, p. deltoides"
http://purl.obolibrary.org/obo/DRON_00018430,"ALLERGENIC EXTRACT, RAGWEED STOCK POLLEN","allergenic extract, ragweed stock pollen"
http://purl.obolibrary.org/obo/DRON_00018498,"ALLERGENIC EXTRACT, RED ALDER","allergenic extract, red alder"
http://purl.obolibrary.org/obo/DRON_00018515,"ALLERGENIC EXTRACT, RYE GRASS PERENNIAL","allergenic extract, rye grass perennial"
http://purl.obolibrary.org/obo/DRON_00018481,"ALLERGENIC EXTRACT, SCALE MIX","allergenic extract, scale mix"
http://purl.obolibrary.org/obo/DRON_00018505,"ALLERGENIC EXTRACT, SHEEP SORREL","allergenic extract, sheep sorrel"
http://purl.obolibrary.org/obo/DRON_00018482,"ALLERGENIC EXTRACT, SHEEP WOOL","allergenic extract, sheep wool"
http://purl.obolibrary.org/obo/DRON_00018428,"ALLERGENIC EXTRACT, SHORT RAGWEED, ALTERNARIA","allergenic extract, short ragweed, alternaria"
http://purl.obolibrary.org/obo/DRON_00018475,"ALLERGENIC EXTRACT, STEMPHYLLUM BOTRYOSUM MOLD","allergenic extract, stemphyllum botryosum mold"
http://purl.obolibrary.org/obo/DRON_00018508,"ALLERGENIC EXTRACT, STINGING INSECT","allergenic extract, stinging insect"
http://purl.obolibrary.org/obo/DRON_00018506,"ALLERGENIC EXTRACT, SYCAMORE","allergenic extract, sycamore"
http://purl.obolibrary.org/obo/DRON_00018499,"ALLERGENIC EXTRACT, TAG ALDER","allergenic extract, tag alder"
http://purl.obolibrary.org/obo/DRON_00018483,"ALLERGENIC EXTRACT, THISTLE, RUSSIAN","allergenic extract, thistle, russian"
http://purl.obolibrary.org/obo/DRON_00018431,"ALLERGENIC EXTRACT, TIMOTHY GRASS","allergenic extract, timothy grass"
http://purl.obolibrary.org/obo/DRON_00018500,"ALLERGENIC EXTRACT, WALNUT","allergenic extract, walnut"
http://purl.obolibrary.org/obo/DRON_00018429,"ALLERGENIC EXTRACT, WASP","allergenic extract, wasp"
http://purl.obolibrary.org/obo/DRON_00018501,"ALLERGENIC EXTRACT, WEED, CARELESS","allergenic extract, weed, careless"
http://purl.obolibrary.org/obo/DRON_00018502,"ALLERGENIC EXTRACT, WEED, WEST MIX","allergenic extract, weed, west mix"
http://purl.obolibrary.org/obo/DRON_00018479,"ALLERGENIC EXTRACT, WESTERN RAGWEED","allergenic extract, western ragweed"
http://purl.obolibrary.org/obo/DRON_00018420,"ALLERGENIC EXTRACT,AGARICUS CAMPESTRIS","allergenic extract,agaricus campestris"
http://purl.obolibrary.org/obo/DRON_00018458,"ALLERGENIC EXTRACT,CALVATIA CYATHIFORMIS","allergenic extract,calvatia cyathiformis"
http://purl.obolibrary.org/obo/DRON_00018421,"ALLERGENIC EXTRACT,CLADOSPORIUM CLADOSPORIS","allergenic extract,cladosporium cladosporis"
http://purl.obolibrary.org/obo/DRON_00018422,"ALLERGENIC EXTRACT,COPRINUS MICACEUS","allergenic extract,coprinus micaceus"
http://purl.obolibrary.org/obo/DRON_00018459,"ALLERGENIC EXTRACT,FULIGO SEPTICA","allergenic extract,fuligo septica"
